Experiment,Plant A,Plant B,Trial #,A,B
Species Preference,Spartina alterniflora,Spartina patens,1,0.14,0
Species Preference,Spartina alterniflora,Spartina patens,2,0.1539,0.0081
Species Preference,Spartina alterniflora,Spartina patens,3,0.0012,0
Species Preference,Spartina alterniflora,Spartina patens,4,0.0359,0.0058
Species Preference,Spartina alterniflora,Spartina patens,5,0.0926,0.0012
Species Preference,Spartina alterniflora,Spartina patens,6,0.0058,0
Species Preference,Spartina alterniflora,Spartina patens,7,0.0752,0.0069
Species Preference,Spartina alterniflora,Spartina patens,8,0.0197,0.0116
Species Preference,Spartina alterniflora,Spartina patens,9,0.0995,0.0127
Species Preference,Spartina alterniflora,Spartina patens,10,0.0741,0.0058
Species Preference,Spartina alterniflora,Distichlis spicata,1,0.0197,0.0081
Species Preference,Spartina alterniflora,Distichlis spicata,2,0.0613,0.0139
Species Preference,Spartina alterniflora,Distichlis spicata,3,0,0
Species Preference,Spartina alterniflora,Distichlis spicata,4,0.0255,0.0069
Species Preference,Spartina alterniflora,Distichlis spicata,5,0.0405,0.0035
Species Preference,Spartina alterniflora,Distichlis spicata,6,0.0613,0.0023
Species Preference,Spartina alterniflora,Distichlis spicata,7,0.0093,0.0185
Species Preference,Spartina alterniflora,Distichlis spicata,8,0.0081,0.0081
Species Preference,Spartina alterniflora,Distichlis spicata,9,0.066,0.015
Species Preference,Spartina alterniflora,Distichlis spicata,10,0.0231,0
Species Preference,Spartina alterniflora,Juncus roemerianus,1,0.0926,0.0046
Species Preference,Spartina alterniflora,Juncus roemerianus,2,0.0428,0
Species Preference,Spartina alterniflora,Juncus roemerianus,3,0,0
Species Preference,Spartina alterniflora,Juncus roemerianus,4,0.0868,0
Species Preference,Spartina alterniflora,Juncus roemerianus,5,0.0081,0
Species Preference,Spartina alterniflora,Juncus roemerianus,6,0.0787,0.0104
Species Preference,Spartina alterniflora,Juncus roemerianus,7,0.0822,0.0069
Species Preference,Spartina alterniflora,Juncus roemerianus,8,0.1016,0.002
Species Preference,Spartina alterniflora,Juncus roemerianus,9,0.0671,0.0046
Species Preference,Spartina alterniflora,Juncus roemerianus,10,0.0868,0.0336
Species Preference,Spartina patens,Distichlis spicata,1,0.0023,0.0914
Species Preference,Spartina patens,Distichlis spicata,2,0,0
Species Preference,Spartina patens,Distichlis spicata,3,0,0.0139
Species Preference,Spartina patens,Distichlis spicata,4,0,0
Species Preference,Spartina patens,Distichlis spicata,5,0.0023,0.0637
Species Preference,Spartina patens,Distichlis spicata,6,0,0.0116
Species Preference,Spartina patens,Distichlis spicata,7,0,0.0197
Species Preference,Spartina patens,Distichlis spicata,8,0.0093,0
Species Preference,Spartina patens,Distichlis spicata,9,0.0023,0
Species Preference,Spartina patens,Distichlis spicata,10,0.0023,0.0162
Species Preference,Spartina patens,Juncus roemerianus,1,0.0116,0
Species Preference,Spartina patens,Juncus roemerianus,2,0.0127,0.0046
Species Preference,Spartina patens,Juncus roemerianus,3,0,0
Species Preference,Spartina patens,Juncus roemerianus,4,0.0023,0.0012
Species Preference,Spartina patens,Juncus roemerianus,5,0.0185,0
Species Preference,Spartina patens,Juncus roemerianus,6,0,0.044
Species Preference,Spartina patens,Juncus roemerianus,7,0.0301,0
Species Preference,Spartina patens,Juncus roemerianus,8,0.0058,0.0058
Species Preference,Spartina patens,Juncus roemerianus,9,0.0313,0.0081
Species Preference,Spartina patens,Juncus roemerianus,10,0.0012,0.0046
Species Preference,Distichlis spicata,Juncus roemerianus,1,0,0
Species Preference,Distichlis spicata,Juncus roemerianus,2,0.0116,0.0243
Species Preference,Distichlis spicata,Juncus roemerianus,3,0,0
Species Preference,Distichlis spicata,Juncus roemerianus,4,0.0127,0
Species Preference,Distichlis spicata,Juncus roemerianus,5,0.0764,0
Species Preference,Distichlis spicata,Juncus roemerianus,6,0.1354,0
Species Preference,Distichlis spicata,Juncus roemerianus,7,0.0058,0.0035
Species Preference,Distichlis spicata,Juncus roemerianus,8,0.0012,0.0012
Species Preference,Distichlis spicata,Juncus roemerianus,9,0.0035,0.0046
Species Preference,Distichlis spicata,Juncus roemerianus,10,0.0509,0.0625
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",1,0.066,0
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",2,0.0174,0.3819
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",3,0.0174,0.1331
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",4,0.022,0.0613
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",5,0.0347,0.1875
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",6,0.0185,0.1956
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",7,0.0243,0.1088
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",8,0.0035,0.0174
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",9,0,0.0799
State of Senescence Preference,Live Green,"Partially Seneseced, Yellow",10,0,0.3264
State of Senescence Preference,Live Green,"Brown, Dead",1,0.0127,0.081
State of Senescence Preference,Live Green,"Brown, Dead",2,0.0938,0.1412
State of Senescence Preference,Live Green,"Brown, Dead",3,0.0139,0.0243
State of Senescence Preference,Live Green,"Brown, Dead",4,0.0185,0.0845
State of Senescence Preference,Live Green,"Brown, Dead",5,0.103,0.0347
State of Senescence Preference,Live Green,"Brown, Dead",6,0.022,0.1366
State of Senescence Preference,Live Green,"Brown, Dead",7,0.0694,0.184
State of Senescence Preference,Live Green,"Brown, Dead",8,0,0.3079
State of Senescence Preference,Live Green,"Brown, Dead",9,0.0324,0.2465
State of Senescence Preference,Live Green,"Brown, Dead",10,0.0359,0.0544
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",1,0.0394,0.0243
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",2,0.4444,0.0012
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",3,0.0567,0.0984
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",4,0.0347,0.1204
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",5,0.1516,0.1308
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",6,0.1678,0.0764
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",7,0.0799,0.2708
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",8,0.0856,0.0058
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",9,0.2523,0.0833
State of Senescence Preference,"Partially Seneseced, Yellow","Brown, Dead",10,0.0486,0.1725
Structural Control,Spartina alterniflora,Wooden dowels,1,0.0174,0
Structural Control,Spartina alterniflora,Wooden dowels,2,0.0174,0.0035
Structural Control,Spartina alterniflora,Wooden dowels,3,0.3796,0
Structural Control,Spartina alterniflora,Wooden dowels,4,0.169,0
Structural Control,Spartina alterniflora,Wooden dowels,5,0.1528,0.0081
Structural Control,Spartina patens,Wooden dowels,1,0.0162,0.0012
Structural Control,Spartina patens,Wooden dowels,2,0.0301,0
Structural Control,Spartina patens,Wooden dowels,3,0,0
Structural Control,Spartina patens,Wooden dowels,4,0,0
Structural Control,Spartina patens,Wooden dowels,5,0.0012,0
Structural Control,Distichlis spicata,Wooden dowels,1,0.0046,0.0081
Structural Control,Distichlis spicata,Wooden dowels,2,0,0
Structural Control,Distichlis spicata,Wooden dowels,3,0.0116,0.0069
Structural Control,Distichlis spicata,Wooden dowels,4,0.0046,0
Structural Control,Distichlis spicata,Wooden dowels,5,0,0.0012
Structural Control,Juncus roemerianus,Wooden dowels,1,0,0
Structural Control,Juncus roemerianus,Wooden dowels,2,0.0671,0.0035
Structural Control,Juncus roemerianus,Wooden dowels,3,0.0023,0.0035
Structural Control,Juncus roemerianus,Wooden dowels,4,0.0035,0
Structural Control,Juncus roemerianus,Wooden dowels,5,0.0058,0
